rel_path,species_idx,species_key
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_171235621.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_209779601.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_247190591.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_451035691.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_508106351.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_525954311.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_527708641.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_551681591.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_612773717.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_613156950.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_614625273.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_615579355.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_616666214.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_617704124.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_618786227.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_624636329.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_627990125.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_637568762.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_645153364.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_645597173.jpg,4,Ootaka
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_647940029.jpg,4,Ootaka
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-7D2M9675-1-315-269-579-300.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGP3123-1538-958-358-167.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGP3124-1370-1012-420-216.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGP3125-1270-774-327-196.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGP3126-1481-1137-254-145.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGP3136-1361-916-432-293.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGP3138-1718-613-443-346.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGr1427-2224-1002-606-286.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGr1428-2799-1310-507-469.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGr1429-2568-1233-602-469.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGr1430-1r-339-111-521-800.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGr1430-2016-1419-598-812.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGr1431-2259-1193-565-398.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGr1432-1991-1745-540-512.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGr1434-2243-1168-509-712.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGr1435-2549-1521-872-604.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGr1438-2024-1780-507-532.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGr1439-2655-1358-545-580.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGr2818-2207-1502-425-335.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGr2819-2328-1627-363-263.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGr2826-2131-1562-596-453.JPG,5,Chuhi
tool_bird_class_train/Chuhi_Eastern_Marsh_Harrier/AAS1_chuhi-IMGr2827-2273-1709-327-143.JPG,5,Chuhi
