rel_path,species_key,species_idx,source_tag,source_kind,source_id,source_url,split_image,split_group,group_id,group_id_v2,sha256
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_171235621.jpg,Ootaka,4,ebird,macaulay,171235621,https://macaulaylibrary.org/asset/171235621,val,train,Ootaka/EBIRD/171235621,Ootaka/EBIRD/171235621,3ea17dd748c4f6f33273871ed564cdc270a4e0d1072f3b9f63393eee2f0db479
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_209779601.jpg,Ootaka,4,ebird,macaulay,209779601,https://macaulaylibrary.org/asset/209779601,val,train,Ootaka/EBIRD/209779601,Ootaka/EBIRD/209779601,bf6fe8ce3ef9de5c24bf7746a9ada44dbb1017d8f432722575dc088683e2542c
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_219926321.jpg,Ootaka,4,ebird,macaulay,219926321,https://macaulaylibrary.org/asset/219926321,test,val,Ootaka/EBIRD/219926321,Ootaka/EBIRD/219926321,e88f1ad44aa01142ad96a79f7054c88c2aed85a0379610463ae00f7a166b15ec
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_219926331.jpg,Ootaka,4,ebird,macaulay,219926331,https://macaulaylibrary.org/asset/219926331,test,test,Ootaka/EBIRD/219926331,Ootaka/EBIRD/219926331,9806128269e8f1fc5a9caf98ac3441363493e0032594317b78799d6ce285a4cd
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_219926341.jpg,Ootaka,4,ebird,macaulay,219926341,https://macaulaylibrary.org/asset/219926341,test,val,Ootaka/EBIRD/219926341,Ootaka/EBIRD/219926341,d46e0e4b1b1df7f631148e60b3d3e3a8447f70c29a5a71497b3eace04ae0e1cc
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_247190591.jpg,Ootaka,4,ebird,macaulay,247190591,https://macaulaylibrary.org/asset/247190591,train,train,Ootaka/EBIRD/247190591,Ootaka/EBIRD/247190591,e173db1fd8db63859acf51bdd961e0fb7390317a296a9aa40d85444dd17f5ea4
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_396794971.jpg,Ootaka,4,ebird,macaulay,396794971,https://macaulaylibrary.org/asset/396794971,train,val,Ootaka/EBIRD/396794971,Ootaka/EBIRD/396794971,caf85663c6cff4197a68d4772a1b649acc85eec7bf1caffa57ba6721c49c42c3
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_451035691.jpg,Ootaka,4,ebird,macaulay,451035691,https://macaulaylibrary.org/asset/451035691,train,train,Ootaka/EBIRD/451035691,Ootaka/EBIRD/451035691,4d733823ca56e886e6a77a38907007e977da1c3ba8f2a889051a4b616d5d38cd
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_508106351.jpg,Ootaka,4,ebird,macaulay,508106351,https://macaulaylibrary.org/asset/508106351,train,train,Ootaka/EBIRD/508106351,Ootaka/EBIRD/508106351,3712aa399695b1eaca099bd1d60f6950b5dd7ac05708816d893f1b76ceba9296
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_525954311.jpg,Ootaka,4,ebird,macaulay,525954311,https://macaulaylibrary.org/asset/525954311,train,train,Ootaka/EBIRD/525954311,Ootaka/EBIRD/525954311,baacd45d4082d2cd16f549deeeaf2dc7d2ec5299d14fd2c000f6e365f5ab6be8
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_527708611.jpg,Ootaka,4,ebird,macaulay,527708611,https://macaulaylibrary.org/asset/527708611,train,val,Ootaka/EBIRD/527708611,Ootaka/EBIRD/527708611,1925582cdf10701d0f578096ff8e4475f7e904576302cdc1f8a6440d2d91ad99
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_527708641.jpg,Ootaka,4,ebird,macaulay,527708641,https://macaulaylibrary.org/asset/527708641,test,train,Ootaka/EBIRD/527708641,Ootaka/EBIRD/527708641,c9bfdb48675043fe42f2341374f2399b0164245eadc39b4d56d50002065f0820
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_551681591.jpg,Ootaka,4,ebird,macaulay,551681591,https://macaulaylibrary.org/asset/551681591,train,train,Ootaka/EBIRD/551681591,Ootaka/EBIRD/551681591,15835331f26e812e5e6725b4c391a7a4994468a0e35e20b08575587529b48c99
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_588720091.jpg,Ootaka,4,ebird,macaulay,588720091,https://macaulaylibrary.org/asset/588720091,val,val,Ootaka/EBIRD/588720091,Ootaka/EBIRD/588720091,b9c51074998d115a135d0d72460a795be5264b4b3fef19eb79f87f0ae2283772
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_612773717.jpg,Ootaka,4,ebird,macaulay,612773717,https://macaulaylibrary.org/asset/612773717,train,train,Ootaka/EBIRD/612773717,Ootaka/EBIRD/612773717,257d926bd3a32c89bd11834c7e95ba2964c00e900b3aedd2b6f8856abc3700d3
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_613156950.jpg,Ootaka,4,ebird,macaulay,613156950,https://macaulaylibrary.org/asset/613156950,train,train,Ootaka/EBIRD/613156950,Ootaka/EBIRD/613156950,fc41a55cdda15c36169c34ca55201bdbd729fb60e1e66af9e3507ee18bc5fb50
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_614625273.jpg,Ootaka,4,ebird,macaulay,614625273,https://macaulaylibrary.org/asset/614625273,train,train,Ootaka/EBIRD/614625273,Ootaka/EBIRD/614625273,3a41cf551d25c647a52f29e95aaaf08d707c3a1f451fe71d7e867d17f5b8034d
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_615579355.jpg,Ootaka,4,ebird,macaulay,615579355,https://macaulaylibrary.org/asset/615579355,val,train,Ootaka/EBIRD/615579355,Ootaka/EBIRD/615579355,0d680ee7a78aa90dc4d560534986481cf463ecdcec83fd113f61e3bf51fa5747
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_616666214.jpg,Ootaka,4,ebird,macaulay,616666214,https://macaulaylibrary.org/asset/616666214,train,train,Ootaka/EBIRD/616666214,Ootaka/EBIRD/616666214,f3c1114f7df9676ef2c3ce17b218eb44b6b6bf19c885a352827db00906c38158
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_617704124.jpg,Ootaka,4,ebird,macaulay,617704124,https://macaulaylibrary.org/asset/617704124,test,train,Ootaka/EBIRD/617704124,Ootaka/EBIRD/617704124,cb7f4a55174fd6100d5948bc788ea16c0d682c72b47053c86d07ce7783167068
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_618786227.jpg,Ootaka,4,ebird,macaulay,618786227,https://macaulaylibrary.org/asset/618786227,val,train,Ootaka/EBIRD/618786227,Ootaka/EBIRD/618786227,d54d7e0577a7f6ac998e36b4a0ca4ea3ec8848d09cb08b6daeea83ff4b62a509
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_624636329.jpg,Ootaka,4,ebird,macaulay,624636329,https://macaulaylibrary.org/asset/624636329,train,train,Ootaka/EBIRD/624636329,Ootaka/EBIRD/624636329,8f4b2d0edabf50260b2e9d2644b1e6b3832b4541a894fc2d84172f878dd37615
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_627990125.jpg,Ootaka,4,ebird,macaulay,627990125,https://macaulaylibrary.org/asset/627990125,train,train,Ootaka/EBIRD/627990125,Ootaka/EBIRD/627990125,fb1850de6789f80fa21ff3cabd4628fc7ea5970da30d8538aa3e267c7b7dc068
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_631499639.jpg,Ootaka,4,ebird,macaulay,631499639,https://macaulaylibrary.org/asset/631499639,train,test,Ootaka/EBIRD/631499639,Ootaka/EBIRD/631499639,c9082db3c823477be98bcac90d7ee272c3524350fa4964d8f9a4d030bf3169a7
inaturalist/additional_ebird/Ootaka_Eurasian_Goshawk/ebird_637568762.jpg,Ootaka,4,ebird,macaulay,637568762,https://macaulaylibrary.org/asset/637568762,test,train,Ootaka/EBIRD/637568762,Ootaka/EBIRD/637568762,73f581049d1ccea0fe4f453b76383fbbf319abd0b98766487598fac7391a64df
